# Columns: source name, target_name, comment
############
# Top-level
############

# Power, exponential, and logarithmic functions
xexpf	Exp	Computes e^x
xexp2f	Exp2	Computes 2^x
xexp10f	Exp10	Computes 10^x
xexpm1f	Expm1	Computes e^x - 1
xlogf_u1	Log	Computes ln(x) with 1.0 ULP accuracy
xlogf	LogFast	Computes ln(x) with 3.5 ULP accuracy
xlog2f	Log2	Computes log2(x) with 1.0 ULP accuracy
xlog10f	Log10	Computes log10(x) with 1.0 ULP accuracy
xlog1pf	Log1p	Computes log1p(x) with 1.0 ULP accuracy
xpowf	Pow	Computes x^y with 1.0 ULP accuracy
xsqrtf_u05	Sqrt	Computes sqrt(x) with 0.5001 ULP accuracy
xsqrtf_u35	SqrtFast	Computes sqrt(x) with 3.5 ULP accuracy
xcbrtf_u1	Cbrt	Computes cube root of x with 1.0 ULP accuracy
xcbrtf	CbrtFast	Computes cube root of x with 3.5 ULP accuracy
xhypotf_u05	Hypot	Computes sqrt(x^2 + y^2) with 0.5001 ULP accuracy
xhypotf_u35	HypotFast	Computes sqrt(x^2 + y^2) with 3.5 ULP accuracy

xexp	Exp	Computes e^x
xexp2	Exp2	Computes 2^x
xexp10	Exp10	Computes 10^x
xexpm1	Expm1	Computes e^x - 1
xlog_u1	Log	Computes ln(x) with 1.0 ULP accuracy
xlog	LogFast	Computes ln(x) with 3.5 ULP accuracy
xlog2	Log2	Computes log2(x) with 1.0 ULP accuracy
xlog10	Log10	Computes log10(x) with 1.0 ULP accuracy
xlog1p	Log1p	Computes log1p(x) with 1.0 ULP accuracy
xpow	Pow	Computes x^y with 1.0 ULP accuracy
xsqrt_u05	Sqrt	Computes sqrt(x) with 0.5001 ULP accuracy
xsqrt_u35	SqrtFast	Computes sqrt(x) with 3.5 ULP accuracy
xcbrt_u1	Cbrt	Computes cube root of x with 1.0 ULP accuracy
xcbrt	CbrtFast	Computes cube root of x with 3.5 ULP accuracy
xhypot_u05	Hypot	Computes sqrt(x^2 + y^2) with 0.5001 ULP accuracy
xhypot_u35	HypotFast	Computes sqrt(x^2 + y^2) with 3.5 ULP accuracy

expm1fk	Expm1Fast	Computes e^x - 1 faster with lower precision
expm1k	Expm1Fast	Computes e^x - 1 faster with lower precision

# Trig and inverse trig functions
xsinf_u1	Sin	Computes sin(x) with 1.0 ULP accuracy
xcosf_u1	Cos	Computes cos(x) with 1.0 ULP accuracy
xtanf_u1	Tan	Computes tan(x) with 1.0 ULP accuracy
xsinf	SinFast	Computes sin(x) with 3.5 ULP accuracy
xcosf	CosFast	Computes cos(x) with 3.5 ULP accuracy
xtanf	TanFast	Computes tan(x) with 3.5 ULP accuracy
xasinf_u1	Asin	Computes asin(x) with 1.0 ULP accuracy
xacosf_u1	Acos	Computes acos(x) with 1.0 ULP accuracy
xatanf_u1	Atan	Computes atan(x) with 1.0 ULP accuracy
xacosf	AcosFast	Computes acos(x) with 3.5 ULP accuracy
xasinf	AsinFast	Computes asin(x) with 3.5 ULP accuracy
xatanf	AtanFast	Computes atan(x) with 3.5 ULP accuracy
xatan2f_u1	Atan2	Computes atan(y/x) with 1.0 ULP accuracy
xatan2f	Atan2Fast	Computes atan(y/x) with 3.5 ULP accuracy
XSINCOSF_U1	SinCos	Computes sin(x) and cos(x) with 1.0 ULP accuracy
XSINCOSF	SinCosFast	Computes sin(x) and cos(x) with 3.5 ULP accuracy
XSINCOSPIF_U05	SinCosPi	Computes sin(x*pi) and cos(x*pi) with max(0.506 ULP, FLT_MIN) accuracy (in practice staying below 2 ULP even for subnormals)
XSINCOSPIF_U35	SinCosPiFast	Computes sin(x*pi) and cos(x*pi) with 3.5 ULP accuracy
xsinpif_u05	SinPi	Computes sin(x*pi) with max(0.506 ULP, FLT_MIN) accuracy (in practice staying below 2 ULP even for subnormals)
xcospif_u05	CosPi	Computes cos(x*pi) with max(0.506 ULP, FLT_MIN) accuracy (in practice staying below 2 ULP even for subnormals)

xsin_u1	Sin	Computes sin(x) with 1.0 ULP accuracy
xcos_u1	Cos	Computes cos(x) with 1.0 ULP accuracy
xtan_u1	Tan	Computes tan(x) with 1.0 ULP accuracy
xsin	SinFast	Computes sin(x) with 3.5 ULP accuracy
xcos	CosFast	Computes cos(x) with 3.5 ULP accuracy
xtan	TanFast	Computes tan(x) with 3.5 ULP accuracy
xacos_u1	Acos	Computes acos(x) with 1.0 ULP accuracy
xasin_u1	Asin	Computes asin(x) with 1.0 ULP accuracy
xatan_u1	Atan	Computes atan(x) with 1.0 ULP accuracy
xacos	AcosFast	Computes acos(x) with 3.5 ULP accuracy
xasin	AsinFast	Computes asin(x) with 3.5 ULP accuracy
xatan	AtanFast	Computes atan(x) with 3.5 ULP accuracy
xatan2_u1	Atan2	Computes atan(y/x) with 1.0 ULP accuracy
xatan2	Atan2Fast	Computes atan(y/x) with 3.5 ULP accuracy
XSINCOS_U1	SinCos	Computes sin(x) and cos(x) with 1.0 ULP accuracy
XSINCOS	SinCosFast	Computes sin(x) and cos(x) with 3.5 ULP accuracy
